"","District","Income Streams","Cohort","Year","Amount"
"80","Control Kanungu...","Rent Income","2018","12  months","1.5010855731077339"
"81","Control Kanungu...","Perennial Crop Income","2018","12  months","44.740540540540543"
"82","Control Kanungu...","Seasonal Crop Income","2018","12  months","94.311858950363103"
"83","Control Kanungu...","Season1 Value","2018","12  months","82.800052406977613"
"84","Control Kanungu...","Season2 Value","2018","12  months","78.233547952384498"
"85","Control Kanungu...","Perennial Value","2018","12  months","162.78688328217413"
"86","Control Kanungu...","Annual Agric Value","2018","12  months","323.82048364153627"
"87","Control Kanungu...","Livestock Income","2018","12  months","36.205737066706597"
"88","Control Kanungu...","Livestock Income/ Production","2018","12  months","41.862702702702705"
"89","Control Kanungu...","Livestock Value","2018","12  months","169.10122782061839"
"90","Control Kanungu...","PPI","2018","12  months","27.09"
"91","Control Mitooma...","Salaried  Employment","2020","12  months","28.408262454434993"
"92","Control Mitooma...","Self-Income / Business","2020","12  months","40.379796563096683"
"93","Control Mitooma...","Casual Labour Income","2020","12  months","128.95945565006076"
"94","Control Mitooma...","Remit and Gifts Income","2020","12  months","7.4630098941156051"
"95","Control Mitooma...","Rent Income","2020","12  months","4.6547474396806114"
"96","Control Mitooma...","Perennial Crop Income","2020","12  months","94.165405311577857"
"97","Control Mitooma...","Seasonal Crop Income","2020","12  months","18.702135045998958"
"98","Control Mitooma...","Season1 Value","2020","12  months","63.296273563617426"
"99","Control Mitooma...","Season2 Value","2020","12  months","39.988029855927792"
"100","Control Mitooma...","Perennial Value","2020","12  months","302.17360735983334"
"101","Control Mitooma...","Annual Agric Value","2020","12  months","405.45791077937855"
"102","Control Mitooma...","Livestock Income","2020","12  months","12.894948793612221"
"103","Control Mitooma...","Livestock Income/ Production","2020","12  months","14.266933171324423"
"104","Control Mitooma...","Livestock Value","2020","12  months","117.43638291963201"
"105","Control Mitooma...","PPI","2020","12  months","27.63"
"106","Control Rubanda...","Salaried  Employment","2021","12  months","23.156282999999998"
"107","Control Rubanda...","Self-Income / Business","2021","12  months","16.987185"
"108","Control Rubanda...","Casual Labour Income","2021","12  months","87.977754000000004"
