"","District","Income Streams","Cohort","Year","Amount"
"313","Kagadi GAC...","Livestock Income/ Production","2022","Base","17.989999999999998"
"314","Kagadi GAC...","Livestock Value","2022","Base","97.48"
"315","Kagadi GAC...","PPI","2022","Base","30.43"
"316","Kagadi NonGAC...","Salaried Employment","2022","Base","4.25"
"317","Kagadi NonGAC...","Self-Income / Business","2022","Base","9.51"
"318","Kagadi NonGAC...","Casual Labour Income","2022","Base","71.48"
"319","Kagadi NonGAC...","Remit and Gifts Income","2022","Base","4.87"
"320","Kagadi NonGAC...","Rent Income","2022","Base","4.74"
"321","Kagadi NonGAC...","Perennial Crop Income","2022","Base","25.12"
"322","Kagadi NonGAC...","Seasonal Crop Income","2022","Base","79.8"
"323","Kagadi NonGAC...","Season1 Value","2022","Base","78.94"
"324","Kagadi NonGAC...","Season2 Value","2022","Base","67.33"
"325","Kagadi NonGAC...","Perennial Value","2022","Base","53.23"
"326","Kagadi NonGAC...","Annual Agric Value","2022","Base","199.5"
"327","Kagadi NonGAC...","Livestock Income","2022","Base","9.9600000000000009"
"328","Kagadi NonGAC...","Livestock Income/ Production","2022","Base","11.73"
"329","Kagadi NonGAC...","Livestock Value","2022","Base","68.59"
"330","Kagadi NonGAC...","PPI","2022","Base","29.55"
"331","Kaliro...","Salaried Employment","2022","Base","8.01"
"332","Kaliro...","Self-Income / Business","2022","Base","25.74"
"333","Kaliro...","Casual Labour Income","2022","Base","84.9"
"334","Kaliro...","Remit and Gifts Income","2022","Base","8.1"
"335","Kaliro...","Rent Income","2022","Base","3.66"
"336","Kaliro...","Perennial Crop Income","2022","Base","3.49"
"337","Kaliro...","Seasonal Crop Income","2022","Base","51.75"
"338","Kaliro...","Season1 Value","2022","Base","107"
"339","Kaliro...","Season2 Value","2022","Base","40.32"
"340","Kaliro...","Perennial Value","2022","Base","15.78"
"341","Kaliro...","Annual Agric Value","2022","Base","163.1"
"342","Kaliro...","Livestock Income","2022","Base","4.84"
"343","Kaliro...","Livestock Income/ Production","2022","Base","5.64"
"344","Kaliro...","Livestock Value","2022","Base","129.47999999999999"
"345","Kaliro...","PPI","2022","Base","33.33"
"346","Kisoro...","Salaried Employment","2022","Base",NA
"347","Kisoro...","Self-Income / Business","2022","Base",NA
"348","Kisoro...","Casual Labour Income","2022","Base",NA
"349","Kisoro...","Remit and Gifts Income","2022","Base",NA
"350","Kisoro...","Rent Income","2022","Base",NA
"351","Kisoro...","Perennial Crop Income","2022","Base",NA
"352","Kisoro...","Seasonal Crop Income","2022","Base",NA
"353","Kisoro...","Season1 Value","2022","Base",NA
"354","Kisoro...","Season2 Value","2022","Base",NA
"355","Kisoro...","Perennial Value","2022","Base",NA
"356","Kisoro...","Annual Agric Value","2022","Base",NA
"357","Kisoro...","Livestock Income","2022","Base",NA
"358","Kisoro...","Livestock Income/ Production","2022","Base",NA
"359","Kisoro...","Livestock Value","2022","Base",NA
"360","Kisoro...","PPI","2022","Base",NA
"361","Kisoro...","Salaried Employment","2018","Year 1","18.48"
"362","Kisoro...","Self-Income / Business","2018","Year 1","67.53"
"363","Kisoro...","Casual Labour Income","2018","Year 1","154.29"
"364","Kisoro...","Remit and Gifts Income","2018","Year 1","15.88"
"365","Kisoro...","Rent Income","2018","Year 1","3.46"
"366","Kisoro...","Perennial Crop Income","2018","Year 1","111.91"
"367","Kisoro...","Seasonal Crop Income","2018","Year 1","40.409999999999997"
"368","Kisoro...","Season1 Value","2018","Year 1","156.16"
"369","Kisoro...","Season2 Value","2018","Year 1","143.06"
"370","Kisoro...","Perennial Value","2018","Year 1","85.49"
"371","Kisoro...","Annual Agric Value","2018","Year 1","384.72"
"372","Kisoro...","Livestock Income","2018","Year 1","34.25"
"373","Kisoro...","Livestock Income/ Production","2018","Year 1","37.18"
"374","Kisoro...","Livestock Value","2018","Year 1","156.07"
"375","Kisoro...","PPI","2018","Year 1","22.98"
"376","Kanungu...","Salaried Employment","2018","Year 1","23.2"
"377","Kanungu...","Self-Income / Business","2018","Year 1","49.05"
"378","Kanungu...","Casual Labour Income","2018","Year 1","157.83000000000001"
"379","Kanungu...","Remit and Gifts Income","2018","Year 1","20.58"
"380","Kanungu...","Rent Income","2018","Year 1","10.43"
"381","Kanungu...","Perennial Crop Income","2018","Year 1","70.78"
"382","Kanungu...","Seasonal Crop Income","2018","Year 1","89.8"
"383","Kanungu...","Season1 Value","2018","Year 1","102.89"
"384","Kanungu...","Season2 Value","2018","Year 1","113.89"
"385","Kanungu...","Perennial Value","2018","Year 1","155.54"
"386","Kanungu...","Annual Agric Value","2018","Year 1","372.32"
"387","Kanungu...","Livestock Income","2018","Year 1","61.92"
"388","Kanungu...","Livestock Income/ Production","2018","Year 1","69.760000000000005"
"389","Kanungu...","Livestock Value","2018","Year 1","185.34"
"390","Kanungu...","PPI","2018","Year 1","26.08"
"391","Kisoro...","Salaried Employment","2019","Year 1","38.5"
"392","Kisoro...","Self-Income / Business","2019","Year 1","44.31"
"393","Kisoro...","Casual Labour Income","2019","Year 1","155.80000000000001"
"394","Kisoro...","Remit and Gifts Income","2019","Year 1","15.43"
"395","Kisoro...","Rent Income","2019","Year 1","1.19"
"396","Kisoro...","Perennial Crop Income","2019","Year 1","30.85"
"397","Kisoro...","Seasonal Crop Income","2019","Year 1","181.98"
"398","Kisoro...","Season1 Value","2019","Year 1","170.51"
"399","Kisoro...","Season2 Value","2019","Year 1","201.43"
"400","Kisoro...","Perennial Value","2019","Year 1","66.61"
"401","Kisoro...","Annual Agric Value","2019","Year 1","438.55"
"402","Kisoro...","Livestock Income","2019","Year 1","43.06"
"403","Kisoro...","Livestock Income/ Production","2019","Year 1","44.02"
"404","Kisoro...","Livestock Value","2019","Year 1","181.24"
"405","Kisoro...","PPI","2019","Year 1","22.09"
"406","Kanu...","Salaried Employment","2019","Year 1","39.369999999999997"
"407","Kanu...","Self-Income / Business","2019","Year 1","38.47"
"408","Kanu...","Casual Labour Income","2019","Year 1","113.13"
"409","Kanu...","Remit and Gifts Income","2019","Year 1","20.85"
"410","Kanu...","Rent Income","2019","Year 1","4.1900000000000004"
"411","Kanu...","Perennial Crop Income","2019","Year 1","129.43"
"412","Kanu...","Seasonal Crop Income","2019","Year 1","84.54"
"413","Kanu...","Season1 Value","2019","Year 1","125.64"
"414","Kanu...","Season2 Value","2019","Year 1","124.18"
"415","Kanu...","Perennial Value","2019","Year 1","211.9"
"416","Kanu...","Annual Agric Value","2019","Year 1","461.71"
"417","Kanu...","Livestock Income","2019","Year 1","28.97"
"418","Kanu...","Livestock Income/ Production","2019","Year 1","35.31"
"419","Kanu...","Livestock Value","2019","Year 1","203.32"
"420","Kanu...","PPI","2019","Year 1","20.010000000000002"
"421","Ruk...","Salaried Employment","2019","Year 1","11.09"
"422","Ruk...","Self-Income / Business","2019","Year 1","28.84"
"423","Ruk...","Casual Labour Income","2019","Year 1","104.23"
"424","Ruk...","Remit and Gifts Income","2019","Year 1","11.51"
"425","Ruk...","Rent Income","2019","Year 1","3.71"
"426","Ruk...","Perennial Crop Income","2019","Year 1","83.45"
"427","Ruk...","Seasonal Crop Income","2019","Year 1","131.34"
"428","Ruk...","Season1 Value","2019","Year 1","153.21"
"429","Ruk...","Season2 Value","2019","Year 1","134.33000000000001"
"430","Ruk...","Perennial Value","2019","Year 1","163.4"
"431","Ruk...","Annual Agric Value","2019","Year 1","450.94"
"432","Ruk...","Livestock Income","2019","Year 1","32.71"
"433","Ruk...","Livestock Income/ Production","2019","Year 1","35.11"
"434","Ruk...","Livestock Value","2019","Year 1","223.25"
"435","Ruk...","PPI","2019","Year 1","20.71"
"436","Kisoro...","Salaried Employment","2020","Year 1","15.85"
"437","Kisoro...","Self-Income / Business","2020","Year 1","44.19"
"438","Kisoro...","Casual Labour Income","2020","Year 1","170.82"
"439","Kisoro...","Remit and Gifts Income","2020","Year 1","21.63"
"440","Kisoro...","Rent Income","2020","Year 1","6.43"
"441","Kisoro...","Perennial Crop Income","2020","Year 1","60.98"
"442","Kisoro...","Seasonal Crop Income","2020","Year 1","243.28"
"443","Kisoro...","Season1 Value","2020","Year 1","286.49"
"444","Kisoro...","Season2 Value","2020","Year 1","222.61"
"445","Kisoro...","Perennial Value","2020","Year 1","129.29"
"446","Kisoro...","Annual Agric Value","2020","Year 1","638.39"
"447","Kisoro...","Livestock Income","2020","Year 1","21.71"
"448","Kisoro...","Livestock Income/ Production","2020","Year 1","23.1"
"449","Kisoro...","Livestock Value","2020","Year 1","221.18"
"450","Kisoro...","PPI","2020","Year 1","24.72"
"451","Kanu...","Salaried Employment","2020","Year 1","34.92"
"452","Kanu...","Self-Income / Business","2020","Year 1","46.6"
"453","Kanu...","Casual Labour Income","2020","Year 1","131.47999999999999"
"454","Kanu...","Remit and Gifts Income","2020","Year 1","11.79"
"455","Kanu...","Rent Income","2020","Year 1","8.34"
"456","Kanu...","Perennial Crop Income","2020","Year 1","98.15"
"457","Kanu...","Seasonal Crop Income","2020","Year 1","145.12"
"458","Kanu...","Season1 Value","2020","Year 1","181.84"
"459","Kanu...","Season2 Value","2020","Year 1","189.34"
"460","Kanu...","Perennial Value","2020","Year 1","186.32"
"461","Kanu...","Annual Agric Value","2020","Year 1","557.5"
"462","Kanu...","Livestock Income","2020","Year 1","20.78"
"463","Kanu...","Livestock Income/ Production","2020","Year 1","24.42"
"464","Kanu...","Livestock Value","2020","Year 1","227.29"
"465","Kanu...","PPI","2020","Year 1","23.85"
"466","Ruk...","Salaried Employment","2020","Year 1","26.41"
